Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available
Oahfeo-Frappe,Gurgaon,"1094, Huda Colony, Sector 46, Gurugram, Haryana 122018, India",Shubhaan Talwar,Haryana,Sector 46,299,SILVER,LIVE,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",4999,4999,0,SILVER,Oahfeo,4.9,406,74
1share office,Delhi NCT,"12, Jodhka House, Sant Nagar, East of Kailash, New Delhi, Delhi 110065",Rajvinder singh,Delhi (NCT),East of Kailash,300,SILVER,LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Food"",""Power Backup""]",3999,4999,0,SILVER,1share office,4.6,442,68
Office On Demand-I,Sahibzada Ajit Singh Nagar (Mohali),"A-402, 4th Floor, Tower-A, Bestech Business Towers, Parkview Residence Colony, Sector 66, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Sachdeva,Punjab,Sector 66,499,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Reception"",""Power Backup""]",4999,4999,4000,STANDARD,Office On Demand-I,4.3,361,15
Myworx-II,Noida,"B-8, Sector-2, next to sector 15 metro station, Noida, UP-201301	",Pankaj Kumar,Uttar Pradesh,Sector 2,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",4000,4999,5999,GOLD,Myworx-II,4.0,74,59
Myworx-IV,Noida,"B-7, 1st floor, metro station, B-7, next to sector-15, B Block, Sector 2, Noida, Uttar Pradesh 201301, India",Pankaj Rathi,Uttar Pradesh,Sector 2,499,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",4500,4999,5999,GOLD,Myworx-IV,3.7,361,40
Dafftar,Jaipur,"12, Shiv Marg, kirti Nagar, Shyam Nagar, Jaipur, Rajasthan 302019, India",Pawan,Rajasthan,Shyam Nagar,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,4999,4999,SILVER,Dafftar Prime,3.6,119,41
Crescent Workspace,Bengaluru,"5AC 961, next to Karnataka Bank, HRBR Layout, 1st Block, Banaswadi, Bangalore, India 560043",Simran,Karnataka,Kalyan Nagar,340,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,4999,7499,GOLD,Crescent Workspace,3.6,465,85
BCogent Coworking,Noida,"i-Thum, Tower - A, Office No, 108, 602, 606 & 607, Block A, Industrial Area, Sector 62, Noida, Uttar Pradesh 201309, India",Satyendra,Uttar Pradesh,Sector 62,299,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,4999,5999,SILVER,BCogent Coworking,4.3,119,55
Talent-4-assure,Delhi NCT,"Netaji Subhash Place - Ground Floor, C Block HAFED Complex, Block C5, Netaji Subhash Place, Tri Nagar, Delhi, 110035, India",pradeep,Delhi (NCT),Netaji Subhash Place,0,STANDARD,LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Reception""]",0,5000,6000,GOLD,Talent 4 Assure,4.5,310,93
Talent 4 Assure,Delhi NCT,"1st Floor, Shyam Bhawan, RZ-L3, Dabri - Palam Rd, opp. Shiv Vani Sr Sec School, Mahavir Enclave Part 1, New Delhi, Delhi 110045",pratibha,Delhi (NCT),Mahavir Enclave,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""24*7 Access"",""Work Friendly Music"",""Reception"",""Power Backup"",""24*7 Surveillance"",""Common Area AC"",""CCTV"",""Child Care"",""Cleaning Services"",""Coffee"",""Conference Room"",""Covered Parking"",""Day Light"",""Dishwasher Installed"",""Doctor on Call"",""Fire Extinguisher"",""First Aid"",""Fitness Center"",""Games"",""Gated Access"",""Hand Sanitization at Entry"",""Indoor Park"",""Security"",""Water Purifier"",""Hand Dryer"",""Lifts Available""]",0,5000,0,STANDARD,Talent 4 Assure,4.3,260,55
WorkEasy Coworking Spaces,Rajkot,"15, 17, Street Number 14, behind Poojara Telecom, Sardarnagar, Rajkot, Gujarat 360001, India", Jagvijaysinh Jadeja,Gujarat,Sardarnagar,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Smoking Room"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Work Friendly Music"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Services(Courier/Mail Handling/Admin/Meeting Room)"",""Food"",""Power Backup""]",0,5000,0,STANDARD,WorkEasy Coworking Spaces,3.6,373,39
Startup Huts Unit-I,Bengaluru,"2nd & 3rd Floor, #108, 27th Main Road, Sector 2, HSR Layout, opposite Corner House - HSR Sector 2, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India",Sonu,Karnataka,HSR Layout,350,SILVER,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Power Socket"",""Printer/Scanner"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,5000,6000,SILVER,Startup Huts Unit-I,4.5,463,18
Startup Huts Unit-II,Bengaluru,"15th Cross, 27th Main Rd, PWD Quarters, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",Sonu,Karnataka,HSR Layout,350,SILVER,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""F&B Cafe"",""Food"",""Power Backup""]",0,5000,0,SILVER,Startup Huts Unit-II,4.8,231,57
Startup Huts Unit-III,Bengaluru,"334, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",Sonu,Karnataka,HSR Layout,350,SILVER,LIVE,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Power Backup""]",0,5000,0,SILVER,Startup Huts Unit-III,4.0,489,18
Startup Huts Unit-IV,Bengaluru,"No. 483, 17th Cross, 27th Main Rd, Opposite Nift, Parangi Palaya, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India",Sonu,Karnataka,HSR Layout,350,SILVER,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Power Socket"",""Locker/Storage"",""Meeting Room"",""Common Area"",""Reception"",""Food"",""Power Backup""]",0,5000,0,SILVER,Startup Huts Unit-IV,4.9,213,34
Startup Huts Unit,Bengaluru,"Ashoka Fortune, 3/1-11ST Main, Jakkasandra, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034, India",Sonu,Karnataka,Koramangala,0,STANDARD,LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Meeting Room"",""Common Area"",""F&B Cafe""]",0,5000,0,STANDARD,Startup Huts Unit,4.9,493,27
Startup Huts Unit-V,Bengaluru,"111, 27th Main Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560034, India",Sonu,Karnataka,HSR Layout,350,SILVER,LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Services(Courier/Admin)"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Food"",""Power Backup""]",0,5000,0,SILVER,Startup Huts Unit-V,5.0,257,65
Startup Huts Unit-VI,Bengaluru,"2739, 27th Main Rd, PWD Quarters, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India",Sonu,Karnataka,HSR Layout,350,SILVER,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""Power Backup""]",0,5000,6000,SILVER,Startup Huts Unit-VI,4.0,496,22
Angel Coworking-I,Ahmedabad,"213 Iscon Emporio, Nr. Star Bazaar, Jodhpur Cross Roads, Ahmedabad - 15",Kalpit Seksaria,Gujarat,Satellite,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Food"",""Power Backup""]",0,5000,12000,STANDARD,Angel Coworking-I,4.9,187,92
Magnet Cowork-I,Chandigarh,"Plot 129 / 1, opp. Hyatt Regency, Industrial Area Phase I, Chandigarh, 160002, India",Nachiket,Chandigarh (UT),Industrial Area Phase I,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Power Backup""]",5000,5000,6000,GOLD,Magnet Cowork-I,4.7,59,53
Magnet Cowork,Chandigarh,"Plot No 130, opposite Hyatt hotel, Industrial Area Phase I, Chandigarh, 160001, India",Nachiket,Chandigarh (UT),Industrial Area Phase I,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee""]",5000,5000,6000,GOLD,Magnet Cowork,4.2,416,5
Inspire Co Space,Thane,"Inspire Co Spaces Centrum, Plot No. C8, near Satkar Hotel, Wagle Estate, Thane West, Thane, Maharashtra 400604, India",Chhavi,Maharashtra,Thane West,0,STANDARD,LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""Power Backup""]",0,5000,0,STANDARD,Inspire Co Space,3.9,234,98
The Cowork Capital,Vadodara,"1001-1005 and 1008, 10th Floor, Ocean, Sarabhai Compound, Nr. Centre Square Mall, Dr Vikram Sarabhai Marg, Alkapuri, Vadodara, Gujarat 390023, India",Tejas,Gujarat,Alkapuri,350,SILVER,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Tea/Coffee"",""Common Area"",""Reception"",""Food"",""Power Backup""]",0,5000,6500,SILVER,The Cowork Capital,3.9,467,94
TransCurve Coworks,Thane,"F29, Cosmos Business Square, Rustomjee Global City, Virar West – 401303 ",Sachin,Maharashtra,Virar West,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Printer/Scanner"",""Reception"",""Power Backup""]",5000,5000,0,SILVER,TransCurve Coworks,3.8,387,22
D Garage,Ujjain,"1 st Floor, 11, Kamla Nehru Marg, Freeganj, Madhav Nagar, Ujjain, Madhya Pradesh 456010, India",Dhruv,Madhya Pradesh,Madhav Nagar,0,STANDARD,LIVE,"[""Wifi"",""Power Socket"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,5000,6000,SILVER,D Garage,3.6,426,80
Ikeva,Hyderabad,"Level 3, Nsl Centrum Mall, Lane, Rd Number 1, opp. Nexus Mall, KPHB 5th Phase, Kukatpally, Hyderabad, Telangana 500072, India",Karan Madan,Telangana,Kukatpally,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Food"",""Power Backup""]",4500,5000,6000,GOLD,Ikeva,4.2,389,32
Ikeva,Hyderabad,"Level 1, MB Towers, am@10, Road No.10,Banjara Hills,, Hyderabad, Telangana 500034",Karan Madan,Telangana,Banjara Hills,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",4500,5000,6000,GOLD,Ikeva,4.5,326,100
Nextcoworks,Bengaluru,"Alankar Plaza, Bk circle, Nayak Layout, 8th Phase, J. P. Nagar, Bengaluru, Kothnur, Karnataka 560078, India",Manish,Karnataka,J. P. Nagar,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,5000,5500,STANDARD,Nextcoworks,4.1,368,20
Pulsebay,Pondicherry,"388 Vazhudavur, Main Road, Sokkanathan Pet, Shanmugapuram, Puducherry, 605009, India",Priya,Puducherry (UT),Shanmugapuram,500,GOLD,LIVE,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Locker/Storage"",""Common Area"",""Reception"",""Food"",""Power Backup"",""Meeting Room"",""Services(HR/Admin/IT)"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe""]",4000,5000,4500,SILVER,Pulsebay,3.8,339,57
Wurk-I,Siliguri,"Space Town, 5th Floor, Sevoke Road 2.5 Mile, Post, near Check, Ward 42, Don Bosco Colony, Siliguri, West Bengal 734001, India",Rupasri Mukherjee,West Bengal,Don Bosco Colony,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Easy Accessibility"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""Power Backup""]",5000,5000,5000,GOLD,Wurk-I,4.0,127,18
S Space,Indore,"42, Vasant Vihar Colony, Vijay Nagar, Vasant Vihar Colony, Indore, Madhya Pradesh 452010, India",Ayush Jain,Madhya Pradesh,Vijay Nagar,0,STANDARD,LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Food"",""Power Backup""]",5000,5000,0,PLATINUM,S Space,4.8,491,12
S.Pace,Bhopal,"E-3/114 10 Number, Arera Colony, 10 No. Stop, E-3, Arera Colony, Bhopal, Madhya Pradesh 462016, India",adil khan,Madhya Pradesh,Arera Colony,0,STANDARD,LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Meeting Room"",""Common Area"",""Reception"",""Food"",""Power Backup""]",4000,5000,0,PLATINUM,S Space,4.1,266,55
Nwook,Kolkata,"First Floor, 123, Ashutosh Mukherjee Rd, Paddapukur, Bhowanipore, area, Kolkata, West Bengal 700025, India","Chirag Ghelani , Hansraj sirohia",West Bengal,Bhowanipore,0,STANDARD,LIVE,"[""Wifi"",""Power Socket"",""Locker/Storage"",""Common Area""]",0,5000,0,GOLD,Nwook,3.9,486,9
The Nest Spaces,Coimbatore,"Plot no 12, Rayappa Layout, opposite cut to Elsie Agro Industries, Ganapathy Housing Unit, Ganapathy, Coimbatore, Tamil Nadu 641006, India",The Nest Spaces,Tamil Nadu,Ganapathy,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Reception"",""Power Backup""]",3500,5000,2250,STANDARD,The Nest Spaces,3.5,92,80
Awfis-Lavelle Road 2,Bengaluru,"# 48, 3rd Floor,Hitananda - II, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",Rahul,Karnataka,Shanthala Nagar,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,14560,14000,GOLD,Awfis-Lavelle Road 2,3.6,286,89
eKatra Coworking,Jabalpur,"3 rd Floor, Techno Park, IT Park, Bargi Hills, Jabalpur, Madhya Pradesh 482003, India",Jabalpur Coworking,Madhya Pradesh,Bargi Hills,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Common Area"",""Reception"",""Power Backup""]",0,5000,0,STANDARD,Jabalpur Coworking,4.3,472,83
Share Office Solutions,Bengaluru,"14, Thamarai Kannan Rd, Halasuru, Murphy Town, Bengaluru, Karnataka 560008, India",Kavitha,Karnataka,Murphy Town,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Reception"",""F&B Cafe""]",0,5000,6000,STANDARD,Share Office Solutions,4.4,421,13
Awfis-Hosur Road,Bengaluru,"Awfis Space Solution Pvt Ltd, A block, 2nd Floor, Dayananda Sagar University, Kudlu Gate, Hongasandra Village, Begur Hobli Hosur Road Bengaluru 560068",Rahul,Karnataka,Srinivasa Nagar,499,GOLD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,9500,11000,GOLD,Awfis-Hosur Road,3.5,323,46
Awfis-MG Road,Bengaluru,"Raheja Towers, 26, Mahatma Gandhi Rd, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India",Rahul,Karnataka,Ashok Nagar,499,GOLD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-MG Road,4.1,41,88
Nwook-I,Kolkata,"HCFJ+6QH, EN Block, Sector V, Bidhannagar, West Bengal 700091, India",hansraj sirohia,West Bengal,Bidhannagar,0,STANDARD,LIVE,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Locker/Storage"",""Common Area"",""Food"",""Power Backup""]",0,5000,0,STANDARD,Nwook-I,4.2,278,36
Value Cowork,Madurai,"No 7, 3rd Floor, HIG, 80 Feet Road, Anna Nagar Vodafone Building, near Lovely Cards, Anna Nagar, Madurai, Sathamangalam, Tamil Nadu 625020, India",Jeevitha,Tamil Nadu,Anna Nagar,500,GOLD,LIVE,"[""Power Socket"",""Locker/Storage"",""Common Area"",""Reception"",""F&B Cafe"",""Power Backup""]",5000,5000,0,GOLD,Value Cowork-I,3.7,434,35
ABL Workspaces,Noida,"F2 Sec 8 Noida, F Block, Sector 8, Noida, Uttar Pradesh 201301, India",RASHI,Uttar Pradesh,F-Block,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,5000,6000,GOLD,ABL Workspaces,4.6,37,17
Next 57,Chandigarh,"3rd floor , Plot no. 57, Industrial Area Phase I, Chandigarh, 160002, India",Renu,Chandigarh (UT),Industrial Area Phase I,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",4500,5000,0,GOLD,Next 57,3.8,65,99
Next 57 Coworking,Chandigarh,"Ground floor,Plot no. 57, Industrial Area Phase I, Chandigarh, 160002, India",Renu,Chandigarh (UT),Industrial Area Phase I,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",4500,5000,0,GOLD,Next 57-I,3.6,63,34
Next 57 Coworking,Sahibzada Ajit Singh Nagar (Mohali),"Ground Floor, C-205, Phase 8B, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 140308, India",Renu,Punjab,Sector 74,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,5000,5500,GOLD,Next 57,3.9,345,43
Next 57 Coworking ,Sahibzada Ajit Singh Nagar (Mohali),"5th Floor, Plot No, 341, near Globe Toyota Showroom, Industrial Area, Industrial Area Mohali Phase 9, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Renu,Punjab,Sector 66,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,5000,4500,GOLD,Next 57,3.6,262,74
BHIVE Premium Church Street,Bengaluru,"48, Church St, Haridevpur, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",Ishita Kashyap,Karnataka,Sampangi Rama Nagar,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,15000,16000,SILVER,BHIVE Premium Church Street,4.2,418,21
Magnet Cowork-II,Chandigarh,"Godrej Eternia, Wing A, 2nd & 4th Floor WL2, Plot no. 70, Industrial Area Phase I, Chandigarh, 160002, India",Nachiket,Chandigarh (UT),Industrial Area Phase I,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",5000,5000,9000,GOLD,Magnet Cowork-II,5.0,431,16
Dotspace,Ernakulam,"KV Nagar, Panampilly Nagar, Kochi, Kerala 682036, India",Ajay,Kerala,Panampilly Nagar,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,5000,6000,STANDARD,Dotspace,3.7,145,82
Pacepro co-works,Noida,"F4, F Block, Sector 8, Noida, Uttar Pradesh 201301, India",Sunny,Uttar Pradesh,F Block,339,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,5000,5500,SILVER,Pacepro Coworking,3.9,444,8
Bhive,Bengaluru,"48, Church St, Haridevpur, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",Dakshina,Karnataka,Ashok Nagar,499,GOLD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,15000,0,GOLD,Bhive,4.3,155,100
BHIVE Premium Indiranagar,Bengaluru,"BHIVE Workspace, No.467/468 Situated on, Shri Krishna Temple Rd, Indira Nagar 1st Stage, Bengaluru, Karnataka 560038",Dakshina,Karnataka,Indiranagar,399,GOLD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,10000,11000,GOLD,BHIVE Premium Indiranagar,4.8,264,24
BHIVE Premium whitefield campus and convention centre,Bengaluru,"Plot No. 77, Jbr Tech Park, 6th Rd, Whitefield, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066",Dakshina,Karnataka,Whitefield,399,GOLD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,9500,GOLD,BHIVE Premium whitefield campus and convention centre,4.3,238,56
Garuda BHIVE Workspace BTM Layout Campus,Bengaluru,"BMTC Complex, Old Madiwala, Kuvempu Nagar, Stage 2, BTM Layout, Bengaluru, Karnataka 560068",Dakshina,Karnataka,BTM Layout,249,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,9500,10000,GOLD,Garuda BHIVE Workspace BTM Layout Campus,4.7,180,85
BHIVE Platinum Indiranagar,Bengaluru,"271, 6th Main Rd, HAL 2nd Stage, Motappapalya, Indiranagar, Bengaluru, Karnataka 560038",Dakshina,Karnataka,Indiranagar,499,GOLD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,15000,16000,GOLD,Bhive-IBHIVE Platinum Indiranagar,4.6,384,43
BHIVE Workspace MG Road,Bengaluru,"BHIVE MG Road, Mahalakshmi Chambers, 29, MG Road Next to Trinity Metro Station, opp. Kotak Bank, Bengaluru, Karnataka 560001",Dakshina,Karnataka,Sivanchetti Gardens,399,GOLD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,10500,11000,GOLD,BHIVE Workspace MG Road,4.9,105,5
Bhive,Bengaluru,"3, 27th Main Rd, near Power Station, 2nd Sector, ITI Layout, Sector 7, HSR Layout, Bengaluru, Karnataka 560102, India",Dakshina,Karnataka,HSR Layout,249,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,9000,0,SILVER,Bhive,4.8,94,30
BHIVE Premium Brigade Metropolis Mahadevpura,Bengaluru,"8th Floor, ITPL Main Rd, Brigade Metropolis, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048",Dakshina,Karnataka,Mahadevapura,249,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,10000,10000,GOLD,BHIVE Premium Brigade Metropolis Mahadevpura,3.7,408,34
BHIVE Premium HSR Campus,Bengaluru,"B-Block, BHIVE Workspace - No.112, AKR Tech Park, ""A"" and ""B"", 7th Mile Hosur Rd, Krishna Reddy Industrial Area, Bengaluru, Karnataka 560068",Ishita Kashyap,Karnataka,Singasandra,249,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8000,9000,GOLD,BHIVE Premium HSR Campus,4.8,50,45
BHIVE Workspace Koramangala,Bengaluru,"BHIVE Forum, GNS Towers, #18, 1st, 2nd & 3rd Floor Dairy Circle Road, Adugodi, Koramangala, Next to Forum Mall, Bengaluru, Karnataka 560029",Ishita Kashyap,Karnataka,Koramangala,299,SILVER,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8200,9200,GOLD,BHIVE Workspace Koramangala,4.3,184,89
BHIVE Workspace Koramangala 5th Block,Bengaluru,"19, 4th C Cross Rd, KHB Colony, Industrial Area, 5th Block, Koramangala, Bengaluru, Karnataka 560095",Ishita Kashyap,Karnataka,Koramangala,299,SILVER,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8000,9000,SILVER,BHIVE Workspace Koramangala 5th Block,4.7,431,36
